key,value,unit,note
RequirementCoefficient_Exploration,2.0,倍,探索の要求値＝クエストDifficulty×この係数（→ 03 §4.2.3。仮値）
RequirementCoefficient_Escort,2.0,倍,護衛の要求値＝クエストDifficulty×この係数（→ 03 §4.2.3。仮値）
RatioThreshold_GreatSuccess,1.5,倍,探索・護衛で「大成功」となるRatioの下限
RatioThreshold_Success,1.0,倍,探索・護衛で「成功」となるRatioの下限（これ未満は失敗）
HpLossPct_GreatSuccess_Min,0,%,大成功時のHP消費率の下限（探索・護衛のみ。軽量レンジ）
HpLossPct_GreatSuccess_Max,5,%,大成功時のHP消費率の上限
HpLossPct_Success_Min,5,%,成功時のHP消費率の下限
HpLossPct_Success_Max,15,%,成功時のHP消費率の上限
HpLossPct_Failure_Min,15,%,失敗時のHP消費率の下限
HpLossPct_Failure_Max,30,%,失敗時のHP消費率の上限
